edu_complete,ever_smoke,age_first_smoke,days_per_month_smoke,ever_drink,age_first_drink,days_per_month_drink,ever_marijuana,age_first_marijuana,days_per_month_marijuana,gang_around,ever_attack,drug_sell,gender,race,parent_religion,parents_income,age_months,family_struct,residency_change,rural_urban,sampling_weight
9,0,,,0,,,0,,,,0,0,2,1,2,,194,4,1,1,313339
6,0,,,1,10,0,0,,,1,1,0,1,1,1,26000,161,5,4,1,235215
8,1,14,2,0,,,1,14,0,0,0,0,1,2,2,,191,4,1,1,232203
6,0,,,1,2,1,0,,,1,1,0,2,2,3,4810,160,4,1,1,202169
7,0,,,0,,,0,,,0,0,0,1,5,1,,156,4,1,1,185268
8,0,,,0,,,0,,,,0,0,1,5,1,,191,4,1,1,212411
7,0,,,0,,,0,,,,0,0,2,5,1,,162,4,1,1,179966
6,0,,,0,,,0,,,0,0,0,1,1,13,,159,4,1,1,319676
10,1,15,30,1,14,0,0,,,1,0,0,2,1,1,72,198,1,1,1,357224
6,0,,,0,,,0,,,0,0,0,1,1,1,,156,1,1,1,210482
8,0,,,0,,,0,,,1,0,0,1,1,,,197,1,,1,297374
9,0,,,0,,,0,,,,0,0,1,1,,,185,1,,1,268825
10,0,,,0,,,0,,,,0,0,1,2,1,,188,1,1,1,218152
9,0,,,0,,,0,,,0,0,0,2,2,1,,178,1,1,1,172041
6,0,,,0,,,0,,,0,0,0,1,3,21,,168,1,1,1,261084
7,0,,,1,9,0,0,,,0,0,0,1,1,1,,167,1,2,1,198716
10,1,13,0,1,14,0,1,15,0,1,0,0,2,2,2,,197,4,1,1,144308
7,0,,,0,,,0,,,0,0,0,1,5,1,16000,176,1,2,1,212462
9,0,,,0,,,0,,,1,0,0,1,4,1,,182,1,2,1,282950
10,0,,,1,14,0,0,,,1,0,0,1,1,1,,202,1,1,1,225175
9,0,,,1,15,0,0,,,0,0,0,1,4,,,207,1,,1,309514
8,0,,,1,14,0,0,,,0,0,0,1,5,1,,176,2,2,1,220794
9,0,,,0,,,0,,,0,0,0,2,2,1,26000,195,4,1,1,186863
9,0,,,0,,,0,,,1,0,0,2,2,2,,200,4,1,1,186863
8,1,14,30,1,14,6,0,,,0,1,0,2,1,1,,178,1,1,1,182207
7,1,13,1,0,,,0,,,0,0,0,2,1,1,,159,1,1,1,195481
10,1,13,0,1,13,0,0,,,0,0,0,2,1,1,33000,196,1,1,1,342013
8,1,13,0,1,12,0,0,,,0,0,0,1,1,1,33000,166,1,1,1,272394
9,1,12,0,1,12,10,0,,,1,0,0,1,1,1,30000,183,1,1,1,284711
8,0,,,0,,,0,,,0,0,0,2,1,1,,174,1,1,1,304206
6,0,,,0,,,0,,,0,0,0,1,1,1,,149,1,1,1,306064
8,1,14,0,0,,,0,,,0,0,0,2,1,1,,180,1,1,1,304206
6,,,,0,,,0,,,0,0,0,2,1,1,,157,1,1,1,312763
9,1,15,0,1,15,0,0,,,0,0,0,2,1,1,3500,193,6,1,1,276185
7,0,,,0,,,0,,,0,0,0,2,1,,,167,1,,1,306395
6,0,,,1,10,0,0,,,1,1,0,1,1,1,51000,156,4,2,1,299832
8,1,13,30,1,13,1,1,14,0,1,0,0,2,1,1,15000,175,1,1,1,298013
6,1,10,1,1,10,1,0,,,1,0,0,2,1,1,4000,149,1,1,1,191767
6,0,,,0,,,0,,,1,1,0,1,2,11,28000,152,4,1,,213973
6,0,,,0,,,0,,,1,0,0,1,2,11,28000,152,4,1,,213973
10,0,,,1,13,0,0,,,0,0,0,1,1,6,14000,201,1,1,1,303178
8,1,12,0,0,,,0,,,0,0,0,1,1,1,17940,174,1,1,1,277159
8,1,9,0,1,8,0,0,,,0,0,0,1,1,,,179,5,,1,277159
8,1,14,0,1,14,0,0,,,0,0,0,1,1,1,30000,182,1,1,1,261751
6,1,5,5,0,,,0,,,0,0,0,1,1,1,30000,152,1,1,1,281381
10,0,,,1,16,1,0,,,0,0,1,1,1,,,204,1,,1,298653
8,0,,,0,,,0,,,0,0,0,1,1,,,180,1,,1,273022
6,0,,,0,,,0,,,0,0,0,2,1,1,,153,1,1,1,287540
9,1,13,0,1,13,10,0,,,1,0,0,1,1,,,190,4,,1,261751
8,0,,,0,,,0,,,0,0,0,2,1,,,180,1,,1,288279
8,0,,,0,,,0,,,0,0,0,2,1,17,,174,4,3,1,288279
9,1,16,0,0,,,0,,,1,0,0,2,4,,,198,3,,1,324106
8,1,15,30,0,,,0,,,0,0,0,2,4,,,187,3,,1,261725
10,0,,,0,,,0,,,0,0,0,1,1,1,20000,199,1,1,1,307843
7,0,,,0,,,0,,,0,0,0,1,1,1,41000,169,1,1,1,258133
8,1,13,0,1,14,0,0,,,0,0,0,1,1,26,20000,177,1,1,1,281423
6,0,,,0,,,0,,,0,0,0,1,1,,,156,1,,1,290039
9,1,11,2,1,13,1,0,,,0,0,0,1,1,16,62000,191,4,1,1,269805
7,0,,,0,,,0,,,0,0,0,2,1,15,12000,161,1,2,1,278467
12,0,,,1,16,0,0,,,0,0,0,2,1,1,800,201,4,2,1,327266
5,0,,,1,12,0,0,,,0,0,0,1,1,1,,156,1,2,1,297014
6,0,,,0,,,0,,,0,0,0,2,1,1,,153,1,1,1,303515
6,0,,,0,,,0,,,0,0,0,1,1,1,15000,160,2,1,1,201195
10,1,16,0,1,16,0,0,,,1,1,0,2,1,1,31000,209,1,2,1,326762
9,1,14,30,1,1,0,1,15,0,1,1,0,2,1,1,,193,4,3,1,263870
9,1,12,0,0,,,0,,,1,0,0,1,2,2,90254,187,1,2,1,207765
8,0,,,0,,,0,,,1,1,0,1,2,5,40000,175,2,1,1,180046
6,0,,,1,10,9,0,,,1,1,0,1,2,5,40000,155,2,2,1,216574
6,0,,,0,,,0,,,1,0,0,1,2,2,17000,152,1,1,1,216574
6,0,,,0,,,0,,,0,0,0,2,1,1,28000,158,1,1,1,317492
8,1,13,0,1,13,0,1,13,0,0,0,0,2,2,2,,172,4,1,1,214089
7,0,,,0,,,0,,,1,0,0,2,2,2,,169,4,1,1,196729
6,1,10,0,1,13,0,0,,,1,1,0,1,2,2,,159,4,2,1,223196
9,0,,,1,15,1,0,,,0,1,0,2,2,2,,186,9,2,1,214089
9,1,11,0,1,12,0,0,,,1,1,0,1,2,,,182,1,,1,185551
10,1,16,10,1,17,3,0,,,0,1,0,2,2,11,15000,209,2,6,1,164212
10,1,13,0,1,10,0,0,,,1,0,0,1,1,16,,200,1,1,1,310365
10,1,16,4,1,13,3,1,14,8,0,0,0,1,4,22,,207,1,2,1,310365
8,0,,,1,13,0,0,,,0,0,0,1,4,22,,174,1,2,1,283729
8,0,,,0,,,0,,,0,0,0,2,1,1,35000,183,1,1,1,167513
6,0,,,0,,,0,,,1,0,0,1,1,1,30000,149,1,1,1,185268
11,1,16,0,1,16,4,0,,,1,0,0,2,2,1,12,209,1,3,1,212410
10,1,14,30,1,15,4,1,15,30,1,1,1,2,1,1,,197,4,2,1,150807
9,1,13,0,1,13,0,1,13,0,1,0,1,1,1,1,,186,4,2,1,212462
10,0,,,0,,,1,15,0,0,0,0,2,2,12,40000,200,4,2,1,179811
8,1,12,0,1,14,0,1,14,0,1,0,0,1,2,12,40000,182,4,2,1,182233
9,1,12,30,1,13,10,1,14,0,1,0,0,2,1,5,31000,190,1,3,1,271627
11,0,,,1,16,1,0,,,0,0,0,1,1,,,208,1,,1,319490
9,1,13,0,1,13,2,1,14,0,0,0,0,2,1,,,179,1,,1,299186
4,0,,,0,,,0,,,0,0,0,1,1,1,40000,149,1,1,1,198194
9,1,15,1,0,,,0,,,1,0,0,1,1,1,43000,198,1,1,1,227230
7,1,13,0,0,,,0,,,0,0,0,2,1,1,,171,1,1,1,289003
6,0,,,0,,,0,,,0,0,0,2,1,1,,152,1,1,1,307601
6,0,,,0,,,0,,,0,0,0,2,1,1,42000,151,1,4,1,192522
7,0,,,0,,,0,,,1,0,0,1,1,3,58000,165,1,1,0,254980
10,1,16,0,1,15,0,0,,,0,0,0,2,1,1,60000,203,1,1,0,320149
7,0,,,0,,,0,,,0,0,0,1,1,1,60000,169,1,1,0,254980
9,1,14,0,1,14,0,0,,,0,0,0,2,1,1,6000,186,1,1,0,258529
8,0,,,0,,,0,,,1,0,0,1,1,1,35000,176,1,1,0,277986
9,1,15,0,1,15,1,0,,,0,0,0,2,1,2,,197,1,1,0,320149
10,0,,,0,,,0,,,0,0,0,2,1,1,,206,1,2,0,320149
8,0,,,0,,,0,,,0,0,0,2,1,1,,188,1,2,0,258529
6,0,,,0,,,0,,,0,0,0,1,1,1,,164,1,2,0,254980
7,0,,,0,,,0,,,0,0,0,2,1,7,52000,172,1,1,0,284759
6,0,,,0,,,0,,,0,0,0,2,1,7,52000,154,1,1,0,292768
9,0,,,0,,,0,,,0,0,0,2,1,3,54000,196,1,1,0,320149
6,0,,,1,12,0,0,,,0,0,0,1,1,12,,146,1,1,1,287009
9,1,14,5,1,5,4,1,13,2,1,1,1,1,2,2,37000,191,2,2,1,191928
8,0,,,0,,,0,,,0,0,0,2,1,,,176,1,,1,275558
7,0,,,0,,,0,,,0,0,0,1,1,1,,161,1,1,1,194418
9,1,15,5,1,15,4,1,15,1,1,0,0,2,1,1,24800,200,4,2,1,314432
7,0,,,0,,,0,,,0,0,0,2,1,,,155,4,,1,287540
7,1,10,10,1,13,2,0,,,1,0,0,1,1,3,65000,162,4,1,1,250427
8,1,6,1,1,6,1,1,14,0,1,0,1,1,1,6,,180,6,2,1,292070
8,0,,,0,,,0,,,0,0,0,2,2,1,2250,184,4,1,1,179200
9,0,,,0,,,0,,,1,0,0,2,2,1,35000,192,4,1,1,192356
10,1,15,0,1,14,0,1,12,0,0,0,0,2,2,13,23000,197,9,5,1,227229
8,1,12,0,0,,,1,13,0,1,1,0,1,2,2,40000,172,4,1,1,194946
7,0,,,0,,,0,,,0,0,0,1,5,1,,155,1,1,1,185268
8,1,14,3,1,13,6,1,14,0,0,0,0,2,1,1,1700,185,1,2,1,253912
10,1,14,25,1,13,2,1,15,5,1,1,0,2,1,,,200,8,,1,314432
7,1,11,30,1,11,0,1,12,30,0,1,1,1,1,15,,176,1,13,1,284166
9,0,,,0,,,0,,,1,0,0,1,1,1,,201,4,1,1,310843
7,0,,,1,10,0,0,,,0,0,0,2,1,27,45000,159,1,1,1,281182
7,1,10,0,0,,,0,,,0,1,0,1,1,,,182,1,,1,290086
5,0,,,1,12,0,0,,,0,0,0,2,1,,,158,1,,1,305512
9,1,12,30,1,13,11,1,14,15,1,0,0,2,1,3,32000,190,4,2,1,269782
7,0,,,1,11,1,0,,,1,0,0,2,1,3,32000,165,4,2,1,287040
8,1,13,25,1,14,0,0,,,0,0,0,1,5,1,,193,1,1,1,290086
9,1,13,3,1,12,2,0,,,1,0,0,2,1,1,30000,183,1,1,1,269782
6,0,,,1,11,1,0,,,0,0,0,2,1,1,30000,155,1,1,1,305512
7,0,,,0,,,0,,,1,0,0,1,5,1,18000,167,1,1,1,200816
6,0,,,0,,,0,,,1,0,0,1,5,1,18000,156,1,2,1,195193
9,0,,,0,,,0,,,0,0,0,2,5,1,12000,202,1,1,1,223789
9,1,14,8,1,14,0,0,,,0,0,0,1,5,1,3900,206,1,2,1,228914
8,0,,,0,,,0,,,0,0,0,2,5,1,3900,180,1,2,1,176487
8,0,,,0,,,0,,,0,0,0,2,5,1,12000,173,1,2,1,176487
9,0,,,1,15,0,0,,,1,0,0,1,5,1,10500,191,4,2,1,223790
9,1,15,30,1,16,0,0,,,0,1,0,2,5,1,22000,202,1,1,1,223789
7,0,,,0,,,0,,,0,0,0,2,5,,,173,5,,1,176487
7,0,,,0,,,0,,,0,0,0,1,5,,,164,1,,1,200816
8,0,,,0,,,0,,,1,0,0,1,5,5,60000,180,1,1,1,273022
6,0,,,0,,,0,,,1,1,0,1,1,25,7000,156,1,1,1,281381
6,0,,,0,,,0,,,1,0,0,2,1,16,60000,150,2,1,1,287540
9,1,15,15,0,,,1,15,2,0,0,1,1,1,1,,195,1,1,1,212411
9,1,15,0,1,11,0,0,,,0,0,1,1,1,1,,195,1,1,1,212411
8,0,,,0,,,0,,,1,0,0,2,1,9,45000,173,5,1,1,279674
10,0,,,1,14,1,0,,,1,1,0,1,1,1,40000,199,5,2,1,298653
9,0,,,0,,,0,,,0,0,0,2,2,2,,191,4,3,1,179811
8,1,11,30,1,12,0,1,15,2,0,1,0,2,5,11,,205,6,8,1,314432
7,0,,,0,,,0,,,0,0,0,1,5,35,8000,157,5,3,1,303892
6,0,,,0,,,0,,,0,0,0,2,5,1,60,158,4,1,1,310544
6,1,11,3,0,,,0,,,0,0,1,1,1,1,30,154,1,3,1,200089
8,0,,,1,10,3,1,12,30,1,1,1,1,5,,,195,5,,1,234656
6,0,,,0,,,0,,,0,1,0,1,5,1,60,153,4,3,1,200089
9,0,,,1,14,10,0,,,1,0,0,1,5,1,16,194,1,2,1,234656
6,1,12,1,0,,,0,,,0,0,0,2,1,,,162,4,,1,194094
9,0,,,1,15,1,0,,,0,0,0,2,4,21,4500,188,1,3,1,274225
6,0,,,0,,,0,,,1,0,0,2,5,1,33,148,4,3,1,194363
6,0,,,0,,,0,,,0,0,0,1,5,1,48,169,1,2,1,270461
10,0,,,1,12,0,0,,,0,0,0,2,4,,,200,4,,1,253912
10,1,,0,0,,,1,15,0,0,0,0,1,1,7,,201,1,2,1,298653
7,1,13,0,0,,,0,,,0,0,0,2,1,7,,169,1,1,1,270155
8,0,,,1,12,0,0,,,0,0,0,2,1,1,50000,172,1,1,1,190288
6,0,,,1,7,1,0,,,0,0,0,1,1,1,50000,156,1,1,1,196166
8,0,,,0,,,0,,,0,1,0,2,,3,,173,1,1,1,286046
7,0,,,0,,,0,,,0,0,0,1,5,1,14000,168,1,1,1,201818
6,0,,,0,,,0,,,0,0,0,2,1,,,155,1,,1,304454
11,0,,,1,15,0,0,,,0,0,0,1,1,1,90254,201,5,1,1,230055
8,0,,,1,14,2,0,,,1,0,0,1,1,1,21000,182,1,1,1,335589
7,1,13,5,0,,,0,,,0,0,0,2,1,1,21000,164,1,1,1,332065
8,1,13,30,1,13,3,1,14,1,1,0,0,1,1,,,190,2,,1,321735
9,1,11,30,1,14,8,1,14,17,1,1,1,1,1,1,,188,1,1,1,321735
8,0,,,0,,,0,,,0,0,0,1,5,1,,182,1,1,1,306890
6,0,,,0,,,0,,,0,0,0,2,5,1,,155,1,1,1,259951
7,,,,,,,,,,0,,,2,1,,,154,1,,1,304793
8,0,,,0,,,0,,,0,0,0,1,1,1,,188,4,2,1,277456
7,0,,,0,,,0,,,1,0,0,2,1,1,,165,4,2,1,286364
11,1,12,30,1,10,2,1,14,28,0,1,0,1,1,13,6000,204,1,1,1,316573
7,1,13,0,1,13,0,0,,,0,0,0,1,1,13,6000,159,1,1,1,298264
9,1,12,3,1,11,3,0,,,0,0,0,1,1,,,175,1,,1,289403
9,,,,,,,,,,0,0,,1,1,1,40000,187,1,1,1,277456
10,0,,,0,,,0,,,0,0,0,1,2,,,199,4,,1,196201
8,0,,,0,,,0,,,0,0,0,1,2,2,,170,4,2,1,187295
10,0,,,0,,,0,,,0,0,0,1,2,,,202,4,,1,196201
8,0,,,0,,,0,,,1,0,0,1,2,,,168,4,,1,187295
8,1,14,0,0,,,0,,,1,1,0,1,1,,,189,1,,1,280606
6,0,,,0,,,0,,,1,0,0,1,5,1,6000,161,1,2,1,190605
10,1,15,10,1,15,3,1,16,1,1,0,0,2,1,5,,194,2,1,1,314432
9,0,,,1,14,2,0,,,1,0,0,2,1,5,12000,194,1,1,1,314432
7,0,,,1,10,0,0,,,0,1,0,1,5,1,8000,182,2,1,1,212411
9,1,12,30,1,15,2,1,15,0,0,0,0,2,1,1,,188,1,1,1,253912
6,1,12,0,1,11,0,1,12,0,1,1,0,2,1,1,,157,1,1,1,287540
8,1,13,0,0,,,0,,,1,0,0,2,1,13,20000,175,1,1,1,279674
7,1,13,0,0,,,0,,,0,0,0,2,5,3,,173,4,1,1,167513
8,1,13,0,0,,,0,,,1,0,0,2,1,,,172,4,,1,179717
10,1,13,1,1,15,0,0,,,1,0,0,2,3,1,12,204,4,1,1,212410
11,1,9,0,1,15,0,0,,,0,0,0,1,3,,,200,9,,1,217274
8,0,,,0,,,0,,,0,0,0,2,3,1,12,187,4,1,1,167513
6,0,,,0,,,0,,,1,0,0,1,3,1,12,159,4,3,1,185268
10,1,13,5,1,14,1,0,,,0,1,0,1,1,14,41000,198,1,2,0,298653
9,1,14,2,1,13,6,1,15,0,0,1,0,1,1,6,,192,1,1,0,261751
7,0,,,1,,0,0,,,0,0,0,1,1,6,,167,1,1,0,250427
5,1,1,0,0,,,0,,,1,1,0,1,2,2,,149,4,2,1,200600
9,1,13,30,1,13,10,1,14,15,1,1,1,1,1,1,20000,203,1,1,1,305441
6,0,,,0,,,0,,,1,0,0,1,1,1,20000,156,1,2,1,287776
9,0,,,0,,,0,,,1,0,0,2,2,2,,194,2,3,1,183898
9,0,,,1,14,0,0,,,1,0,0,1,1,2,,195,1,1,1,267700
6,1,12,0,1,11,30,0,,,0,1,0,2,1,,,152,1,,1,294075
9,1,13,30,1,13,3,1,16,0,1,1,0,1,1,1,15000,201,1,1,1,310600
6,0,,,0,,,0,,,0,0,0,2,1,1,15000,160,1,1,1,280961
6,0,,,0,,,0,,,0,0,0,2,1,1,15000,148,1,1,1,299042
6,0,,,1,9,0,0,,,1,0,0,2,1,1,,160,1,1,1,299042
10,1,14,30,1,14,15,1,16,3,1,1,0,2,1,6,,200,1,1,1,327009
6,0,,,1,12,0,0,,,0,0,0,2,2,1,,152,1,1,1,170379
7,0,,,0,,,0,,,1,0,0,2,5,1,36000,163,1,1,1,186905
8,0,,,1,14,0,0,,,1,1,0,1,5,,,181,1,,1,220961
6,0,,,1,1,0,0,,,1,0,0,2,,1,42000,151,4,1,1,187165
8,0,,,0,,,0,,,1,0,0,2,1,11,23000,184,1,1,1,150807
5,0,,,0,,,0,,,0,0,0,1,1,11,23000,153,1,1,1,185268
7,0,,,0,,,0,,,0,0,0,2,1,1,13000,163,1,1,1,270155
9,0,,,1,15,0,0,,,0,0,0,1,1,1,,193,1,1,1,261751
7,0,,,0,,,0,,,0,0,0,2,1,1,6000,158,1,1,1,287540
8,1,14,0,1,15,1,1,14,0,1,0,0,2,1,1,18000,182,4,1,1,253912
6,0,,,1,12,0,0,,,0,0,0,2,1,1,,155,1,1,1,287540
10,1,13,30,1,13,3,1,15,0,0,0,0,2,1,1,16000,197,2,1,1,314432
7,0,,,0,,,0,,,0,0,0,1,1,1,,171,2,1,1,289226
7,0,,,0,,,0,,,0,0,0,2,1,15,,170,1,1,1,312010
11,1,16,0,1,16,0,0,,,0,0,0,2,1,,,208,7,,1,363146
11,1,,0,0,,,0,,,0,0,0,2,1,,,205,7,,1,363146
9,0,,,0,,,0,,,0,0,0,1,1,,,194,7,,1,302304
9,0,,,1,,4,0,,,0,0,0,2,1,,,194,7,,1,293251
9,0,,,1,6,0,0,,,0,0,0,2,1,,,180,7,,1,323003
8,1,13,0,1,13,1,1,14,0,0,0,0,1,1,,,182,6,,1,315321
8,1,12,30,1,12,2,1,13,15,1,1,1,2,1,,,178,6,,1,323003
10,1,13,0,0,,,0,,,0,0,0,2,1,1,60000,192,1,2,1,293251
6,0,,,0,,,0,,,0,0,0,1,1,1,60000,150,1,1,1,324975
8,1,10,30,1,15,1,1,14,1,0,0,0,2,1,1,500,184,1,2,1,323003
8,0,,,0,,,0,,,0,0,0,1,1,1,48000,179,1,3,1,315321
10,0,,,1,15,0,0,,,0,0,0,2,5,,,202,1,,1,245318
6,0,,,1,13,0,0,,,0,0,0,1,1,3,,168,4,1,1,263633
8,,,,,,,,,,0,,,2,1,15,10000,172,1,2,1,284401
8,0,,,0,,,0,,,0,0,0,2,1,1,35000,176,4,1,1,291833
9,1,15,1,1,14,1,0,,,1,1,0,1,1,,,185,1,,1,273131
8,0,,,1,13,0,0,,,0,0,0,2,1,1,28000,178,4,2,1,291833
10,0,,,0,,,0,,,0,0,0,1,1,1,90254,204,4,1,1,311638
10,0,,,1,14,20,1,15,15,0,0,1,1,1,,,202,1,,1,311638
6,0,,,0,,,0,,,0,0,0,1,1,,,150,4,,1,293615
10,1,15,0,1,16,5,0,,,0,0,0,2,1,1,30000,206,1,1,1,314432
7,0,,,0,,,0,,,0,0,0,2,1,,,171,1,,1,270155
6,0,,,0,,,0,,,0,0,0,1,1,1,,156,1,1,1,281381
6,0,,,0,,,0,,,0,0,0,1,1,,,157,1,,1,281381
8,1,13,0,1,14,0,0,,,0,1,0,1,1,,,177,1,,1,273022
9,0,,,0,,,0,,,,0,0,2,1,1,500,202,1,1,1,319948
10,0,,,0,,,0,,,0,0,0,1,1,1,90254,208,3,1,1,303893
7,1,12,0,1,13,0,0,,,0,0,0,2,1,1,90254,176,3,1,1,284580
6,0,,,1,12,0,0,,,0,0,0,2,1,1,90254,160,2,1,1,292585
10,1,14,0,1,14,2,0,,,0,0,0,2,1,,,199,1,,1,319948
8,0,,,1,14,0,1,1,0,0,0,0,1,2,1,,180,1,1,1,165921
7,0,,,0,,,0,,,0,0,0,1,1,1,,165,1,1,0,287725
9,0,,,1,15,0,0,,,0,0,0,2,1,16,,193,1,1,0,291729
9,1,7,0,0,,,0,,,0,0,0,2,4,1,,186,1,1,1,314368
8,0,,,0,,,0,,,0,0,0,1,4,22,3050,183,1,1,1,324072
6,0,,,0,,,0,,,1,0,0,1,4,,,159,1,,1,310053
8,1,14,0,0,,,1,14,0,1,0,0,1,4,,,183,5,,1,338027
